name,baseAtk,baseDef,baseHP,rarity,herta
Arrows,317.52,264.6,846.72,3,false
Cornucopia,264.6,264.6,952.56,3,false
Collapsing Sky,370.44,198.45,846.72,3,false
Amber,264.6,330.75,846.72,3,false
Void,317.52,264.6,846.72,3,false
Chorus,317.52,264.6,846.72,3,false
Data Bank,370.44,264.6,740.88,3,false
Darting Arrow,370.44,264.6,740.88,3,false
Fine Fruit,317.52,198.45,952.56,3,false
Shattered Home,370.44,198.45,846.72,3,false
Defense,264.6,264.6,952.56,3,false
Loop,317.52,264.6,846.72,3,false
Meshing Cogs,317.52,264.6,846.72,3,false
Passkey,370.44,264.6,740.88,3,false
Adversarial,370.44,264.6,740.88,3,false
Multiplication,317.52,198.45,952.56,3,false
Mutual Demise,370.44,198.45,846.72,3,false
Pioneering,264.6,264.6,952.56,3,false
Hidden Shadow,317.52,264.6,846.72,3,false
Mediation,317.52,264.6,846.72,3,false
Sagacity,370.44,264.6,740.88,3,false
Post-Op Conversation,423.36,330.75,1058.4,4,false
Good Night and Sleep Well,476.28,330.75,952.56,4,false
Day One of My New Life,370.44,463.05,952.56,4,false
Only Silence Remains,476.28,330.75,952.56,4,false
Memories of the Past,423.36,396.9,952.56,4,false
The Moles Welcome You,476.28,264.6,1058.4,4,false
The Birth of the Self,476.28,330.75,952.56,4,false
Shared Feeling,423.36,396.9,952.56,4,false
Eyes of the Prey,476.28,330.75,952.56,4,false
Landau's Choice,423.36,396.9,952.56,4,false
Swordplay,476.28,330.75,952.56,4,false
Planetary Rendezvous,423.36,330.75,1058.4,4,false
A Secret Vow,476.28,264.6,1058.4,4,false
Make the World Clamor,476.28,396.9,846.72,4,false
Perfect Timing,423.36,396.9,952.56,4,false
Resolution Shines As Pearls of Sweat,476.28,330.75,952.56,4,false
Trend of the Universal Market,370.44,396.9,1058.4,4,false
Subscribe for More!,476.28,330.75,952.56,4,false
Dance! Dance! Dance!,423.36,396.9,952.56,4,false
Under the Blue Sky,476.28,330.75,952.56,4,false
Geniuses' Repose,476.28,396.9,846.72,4,false
Quid Pro Quo,423.36,396.9,952.56,4,false
Fermata,476.28,330.75,952.56,4,false
We Are Wildfire,476.28,463.05,740.88,4,false
River Flows in Spring,476.28,396.9,846.72,4,false
Woof! Walk Time!,476.28,330.75,952.56,4,false
The Seriousness of Breakfast,476.28,396.9,846.72,4,false
Warmth Shortens Cold Nights,370.44,396.9,1058.4,4,false
We Will Meet Again,529.2,330.75,846.72,4,false
This Is Me!,370.44,529.2,846.72,4,false
Return to Darkness,529.2,330.75,846.72,4,false
"Carve the Moon, Weave the Clouds",476.28,330.75,952.56,4,false
Nowhere to Run,529.2,264.6,952.56,4,false
Today Is Another Peaceful Day,529.2,330.75,846.72,4,false
Before the Tutorial Mission Starts,476.28,330.75,952.56,4,false
Night on the Milky Way,582.12,396.9,1164.24,5,false
In the Night,582.12,463.05,1058.4,5,false
Something Irreplaceable,582.12,396.9,1164.24,5,false
But the Battle Isn't Over,529.2,463.05,1164.24,5,false
In the Name of the World,582.12,463.05,1058.4,5,false
Moment of Victory,476.28,595.35,1058.4,5,false
Patience Is All You Need,582.12,463.05,1058.4,5,false
Incessant Rain,582.12,463.05,1058.4,5,false
Echoes of the Coffin,582.12,396.9,1164.24,5,false
The Unreachable Side,582.12,330.75,1270.08,5,false
Before Dawn,582.12,463.05,1058.4,5,false
She Already Shut Her Eyes,423.36,529.2,1270.08,5,false
Sleep Like the Dead,582.12,463.05,1058.4,5,false
Time Waits for No One,476.28,463.05,1270.08,5,false
I Shall Be My Own Sword,635.04,330.75,1164.24,5,false
Brighter Than the Sun,635.04,396.9,1058.4,5,false
"Worrisome, Blissful",582.12,463.05,1058.4,5,false
On the Fall of an Aeon,529.2,396.9,1058.4,5,true
Cruising in the Stellar Sea,529.2,463.05,952.56,5,true
Texture of Memories,423.36,529.2,1058.4,5,true
Past and Future,423.36,396.9,952.56,4,false
Solitary Healing,529.2,396.9,1058.4,5,true
